n = 10; way2_Elapsed time: 0.151 us
n = 20; way2_Elapsed time: 0.549 us
n = 30; way2_Elapsed time: 1.184 us
n = 40; way2_Elapsed time: 2.097 us
n = 50; way2_Elapsed time: 3.312 us
n = 60; way2_Elapsed time: 4.66 us
n = 70; way2_Elapsed time: 6.547 us
n = 80; way2_Elapsed time: 8.583 us
n = 90; way2_Elapsed time: 10.879 us
n = 100; way2_Elapsed time: 13.367 us
n = 110; way2_Elapsed time: 16.06 us
n = 120; way2_Elapsed time: 19.091 us
n = 130; way2_Elapsed time: 22.446 us
n = 140; way2_Elapsed time: 25.975 us
n = 150; way2_Elapsed time: 29.975 us
n = 160; way2_Elapsed time: 33.921 us
n = 170; way2_Elapsed time: 38.063 us
n = 180; way2_Elapsed time: 42.739 us
n = 190; way2_Elapsed time: 47.485 us
n = 200; way2_Elapsed time: 53.948 us
n = 210; way2_Elapsed time: 60.126 us
n = 220; way2_Elapsed time: 103.277 us
n = 230; way2_Elapsed time: 71.986 us
n = 240; way2_Elapsed time: 79.697 us
n = 250; way2_Elapsed time: 83.47 us
n = 260; way2_Elapsed time: 91.394 us
n = 270; way2_Elapsed time: 98.442 us
n = 280; way2_Elapsed time: 105.424 us
n = 290; way2_Elapsed time: 112.915 us
n = 300; way2_Elapsed time: 120.898 us
n = 310; way2_Elapsed time: 128.14 us
n = 320; way2_Elapsed time: 136.5 us
n = 330; way2_Elapsed time: 145.039 us
n = 340; way2_Elapsed time: 153.626 us
n = 350; way2_Elapsed time: 163.392 us
n = 360; way2_Elapsed time: 172.272 us
n = 370; way2_Elapsed time: 181.309 us
n = 380; way2_Elapsed time: 193.78 us
n = 390; way2_Elapsed time: 206.334 us
n = 400; way2_Elapsed time: 218.179 us
n = 500; way2_Elapsed time: 347.979 us
n = 600; way2_Elapsed time: 535.506 us
n = 700; way2_Elapsed time: 687.824 us
n = 800; way2_Elapsed time: 880.125 us
n = 900; way2_Elapsed time: 1165.32 us
n = 1000; way2_Elapsed time: 1333.09 us
n = 1100; way2_Elapsed time: 1612.86 us
n = 1200; way2_Elapsed time: 1941.98 us
n = 1300; way2_Elapsed time: 2334.1 us
n = 1400; way2_Elapsed time: 2692.38 us
n = 1500; way2_Elapsed time: 3102.56 us
n = 1600; way2_Elapsed time: 3554.67 us
n = 1700; way2_Elapsed time: 4009.97 us
n = 1800; way2_Elapsed time: 4479.84 us
n = 1900; way2_Elapsed time: 5004.4 us
n = 2000; way2_Elapsed time: 5513.69 us
n = 2100; way2_Elapsed time: 6180.95 us
n = 2200; way2_Elapsed time: 6747.64 us
n = 2300; way2_Elapsed time: 7279.55 us
n = 2400; way2_Elapsed time: 7841.98 us
n = 2500; way2_Elapsed time: 8513.26 us
n = 2600; way2_Elapsed time: 9315.83 us
n = 2700; way2_Elapsed time: 10068.3 us
n = 2800; way2_Elapsed time: 10839.5 us
n = 2900; way2_Elapsed time: 11706.4 us
n = 3000; way2_Elapsed time: 12489.9 us
n = 3100; way2_Elapsed time: 13179.2 us
n = 3200; way2_Elapsed time: 14166.6 us
n = 3300; way2_Elapsed time: 15072.8 us
n = 3400; way2_Elapsed time: 16260.5 us
n = 3500; way2_Elapsed time: 17556.7 us
n = 3600; way2_Elapsed time: 18220.4 us
n = 3700; way2_Elapsed time: 19125.1 us
n = 3800; way2_Elapsed time: 20189.4 us
n = 3900; way2_Elapsed time: 20969.7 us
n = 4000; way2_Elapsed time: 26439.6 us
n = 4100; way2_Elapsed time: 31079.4 us
n = 4200; way2_Elapsed time: 31786.7 us
n = 4300; way2_Elapsed time: 33508.1 us
n = 4400; way2_Elapsed time: 34814.1 us
n = 4500; way2_Elapsed time: 36089.3 us
n = 4600; way2_Elapsed time: 37307 us
n = 4700; way2_Elapsed time: 38688.6 us
n = 4800; way2_Elapsed time: 41067.6 us
n = 4900; way2_Elapsed time: 41998.8 us
n = 5000; way2_Elapsed time: 44700.1 us
