n = 10; way2_Elapsed time: 0.136 us
n = 20; way2_Elapsed time: 0.708 us
n = 30; way2_Elapsed time: 1.282 us
n = 40; way2_Elapsed time: 1.944 us
n = 50; way2_Elapsed time: 3.117 us
n = 60; way2_Elapsed time: 4.319 us
n = 70; way2_Elapsed time: 6.013 us
n = 80; way2_Elapsed time: 8.117 us
n = 90; way2_Elapsed time: 10.031 us
n = 100; way2_Elapsed time: 12.73 us
n = 110; way2_Elapsed time: 14.668 us
n = 120; way2_Elapsed time: 17.579 us
n = 130; way2_Elapsed time: 24.552 us
n = 140; way2_Elapsed time: 26.279 us
n = 150; way2_Elapsed time: 33.726 us
n = 160; way2_Elapsed time: 31.506 us
n = 170; way2_Elapsed time: 36.485 us
n = 180; way2_Elapsed time: 43.187 us
n = 190; way2_Elapsed time: 47.983 us
n = 200; way2_Elapsed time: 49.139 us
n = 210; way2_Elapsed time: 55.061 us
n = 220; way2_Elapsed time: 60.848 us
n = 230; way2_Elapsed time: 67.04 us
n = 240; way2_Elapsed time: 71.697 us
n = 250; way2_Elapsed time: 78.02 us
n = 260; way2_Elapsed time: 83.518 us
n = 270; way2_Elapsed time: 90.271 us
n = 280; way2_Elapsed time: 118.234 us
n = 290; way2_Elapsed time: 143.846 us
n = 300; way2_Elapsed time: 121.751 us
n = 310; way2_Elapsed time: 132.049 us
n = 320; way2_Elapsed time: 135.328 us
n = 330; way2_Elapsed time: 139.557 us
n = 340; way2_Elapsed time: 148.374 us
n = 350; way2_Elapsed time: 154.623 us
n = 360; way2_Elapsed time: 163.86 us
n = 370; way2_Elapsed time: 173.099 us
n = 380; way2_Elapsed time: 183.559 us
n = 390; way2_Elapsed time: 235.463 us
n = 400; way2_Elapsed time: 230.092 us
n = 500; way2_Elapsed time: 402.789 us
n = 600; way2_Elapsed time: 465.024 us
n = 700; way2_Elapsed time: 633.305 us
n = 800; way2_Elapsed time: 839.717 us
n = 900; way2_Elapsed time: 1075.29 us
n = 1000; way2_Elapsed time: 1312.13 us
n = 1100; way2_Elapsed time: 1645.06 us
n = 1200; way2_Elapsed time: 1944.08 us
n = 1300; way2_Elapsed time: 2247.88 us
n = 1400; way2_Elapsed time: 2599.21 us
n = 1500; way2_Elapsed time: 2944.91 us
n = 1600; way2_Elapsed time: 3516.34 us
n = 1700; way2_Elapsed time: 4030.67 us
n = 1800; way2_Elapsed time: 4462.72 us
n = 1900; way2_Elapsed time: 4964.52 us
n = 2000; way2_Elapsed time: 5407.75 us
n = 2100; way2_Elapsed time: 6068.39 us
n = 2200; way2_Elapsed time: 6550.7 us
n = 2300; way2_Elapsed time: 7146.31 us
n = 2400; way2_Elapsed time: 7796.29 us
n = 2500; way2_Elapsed time: 8607.73 us
n = 2600; way2_Elapsed time: 9324.45 us
n = 2700; way2_Elapsed time: 9852.73 us
n = 2800; way2_Elapsed time: 10923.6 us
n = 2900; way2_Elapsed time: 11466.5 us
n = 3000; way2_Elapsed time: 12136.9 us
n = 3100; way2_Elapsed time: 12942.4 us
n = 3200; way2_Elapsed time: 13937 us
n = 3300; way2_Elapsed time: 14761.9 us
n = 3400; way2_Elapsed time: 15774.8 us
n = 3500; way2_Elapsed time: 16666.5 us
n = 3600; way2_Elapsed time: 17597.9 us
n = 3700; way2_Elapsed time: 18577.2 us
n = 3800; way2_Elapsed time: 19501.3 us
n = 3900; way2_Elapsed time: 20599.6 us
n = 4000; way2_Elapsed time: 22467.8 us
n = 4100; way2_Elapsed time: 23261.1 us
n = 4200; way2_Elapsed time: 24064.2 us
n = 4300; way2_Elapsed time: 32858.8 us
n = 4400; way2_Elapsed time: 34246.7 us
n = 4500; way2_Elapsed time: 35514 us
n = 4600; way2_Elapsed time: 37693.1 us
n = 4700; way2_Elapsed time: 38255.1 us
n = 4800; way2_Elapsed time: 39545.8 us
n = 4900; way2_Elapsed time: 42182.2 us
n = 5000; way2_Elapsed time: 44019.5 us
